08.11.2019 09:51:12.011 [http-bio-8888-exec-1] DEBUG  org.jboss.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider
08.11.2019 09:51:12.026 [http-bio-8888-exec-1] DEBUG  o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
08.11.2019 09:51:12.026 [http-bio-8888-exec-1] DEBUG  o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
08.11.2019 09:51:12.042 [http-bio-8888-exec-1] DEBUG  o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
08.11.2019 09:51:12.042 [http-bio-8888-exec-1] DEBUG  o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.envers.boot.internal.EnversIntegrator].
08.11.2019 09:51:12.120 [http-bio-8888-exec-1] INFO   o.hibernate.Version - HHH000412: Hibernate Core {5.0.1.Final}
08.11.2019 09:51:12.120 [http-bio-8888-exec-1] INFO   o.h.cfg.Environment - HHH000206: hibernate.properties not found
08.11.2019 09:51:12.120 [http-bio-8888-exec-1] INFO   o.h.cfg.Environment - HHH000021: Bytecode provider name : javassist
08.11.2019 09:51:12.136 [http-bio-8888-exec-1] DEBUG  o.h.b.j.i.s.LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
08.11.2019 09:51:12.136 [http-bio-8888-exec-1] DEBUG  o.h.b.j.i.s.LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
08.11.2019 09:51:12.136 [http-bio-8888-exec-1] DEBUG  o.h.b.c.i.JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
08.11.2019 09:51:12.245 [http-bio-8888-exec-1] DEBUG  o.h.c.Configuration - Building session factory using internal StandardServiceRegistryBuilder
08.11.2019 09:51:12.245 [http-bio-8888-exec-1] DEBUG  o.h.s.s.ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
08.11.2019 09:51:12.245 [http-bio-8888-exec-1] DEBUG  o.h.c.Configuration - Building session factory using provided StandardServiceRegistry
08.11.2019 09:51:12.261 [http-bio-8888-exec-1] DEBUG  o.h.c.i.RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
08.11.2019 09:51:12.261 [http-bio-8888-exec-1] INFO   o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.0.Final}
08.11.2019 09:51:12.276 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@878c028
08.11.2019 09:51:12.276 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@878c028
08.11.2019 09:51:12.276 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@878c028
08.11.2019 09:51:12.276 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4ee5d1bb
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@5634d40a
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@240e55
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2d083bc2
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2d083bc2
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2d083bc2
08.11.2019 09:51:12.292 [http-bio-8888-exec-1] DEBUG  o.h.t.BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6829727b
